timestamp,openPrice,highPrice,lowPrice,closePrice
2026-01-19 16:00:00,"{'bid': 4666.5, 'ask': 4666.8}","{'bid': 4670.82, 'ask': 4671.12}","{'bid': 4664.57, 'ask': 4664.87}","{'bid': 4668.04, 'ask': 4668.34}"
2026-01-19 16:15:00,"{'bid': 4668.11, 'ask': 4668.41}","{'bid': 4668.8, 'ask': 4669.1}","{'bid': 4664.25, 'ask': 4664.55}","{'bid': 4666.64, 'ask': 4666.94}"
2026-01-19 16:30:00,"{'bid': 4666.68, 'ask': 4666.98}","{'bid': 4671.15, 'ask': 4671.45}","{'bid': 4665.87, 'ask': 4666.17}","{'bid': 4670.24, 'ask': 4670.54}"
2026-01-19 16:45:00,"{'bid': 4670.23, 'ask': 4670.53}","{'bid': 4676.06, 'ask': 4676.36}","{'bid': 4669.57, 'ask': 4669.87}","{'bid': 4674.26, 'ask': 4674.56}"
2026-01-19 17:00:00,"{'bid': 4674.27, 'ask': 4674.57}","{'bid': 4675.58, 'ask': 4675.88}","{'bid': 4671.31, 'ask': 4671.61}","{'bid': 4672.25, 'ask': 4672.55}"
2026-01-19 17:15:00,"{'bid': 4672.21, 'ask': 4672.51}","{'bid': 4672.87, 'ask': 4673.17}","{'bid': 4670.38, 'ask': 4670.68}","{'bid': 4671.67, 'ask': 4671.97}"
2026-01-19 17:30:00,"{'bid': 4671.68, 'ask': 4671.98}","{'bid': 4673.75, 'ask': 4674.05}","{'bid': 4670.59, 'ask': 4670.89}","{'bid': 4673.14, 'ask': 4673.44}"
2026-01-19 17:45:00,"{'bid': 4673.12, 'ask': 4673.42}","{'bid': 4673.65, 'ask': 4673.95}","{'bid': 4671.52, 'ask': 4671.82}","{'bid': 4672.21, 'ask': 4672.51}"
2026-01-19 18:00:00,"{'bid': 4672.15, 'ask': 4672.45}","{'bid': 4672.98, 'ask': 4673.28}","{'bid': 4670.46, 'ask': 4670.76}","{'bid': 4670.85, 'ask': 4671.15}"
2026-01-19 18:15:00,"{'bid': 4670.84, 'ask': 4671.14}","{'bid': 4671.43, 'ask': 4671.73}","{'bid': 4669.17, 'ask': 4669.47}","{'bid': 4670.87, 'ask': 4671.17}"
2026-01-19 18:30:00,"{'bid': 4670.88, 'ask': 4671.18}","{'bid': 4676.2, 'ask': 4676.5}","{'bid': 4670.88, 'ask': 4671.18}","{'bid': 4676.11, 'ask': 4676.41}"
2026-01-19 18:45:00,"{'bid': 4676.22, 'ask': 4676.52}","{'bid': 4678.76, 'ask': 4679.06}","{'bid': 4674.09, 'ask': 4674.39}","{'bid': 4676.22, 'ask': 4676.52}"
2026-01-19 19:00:00,"{'bid': 4676.17, 'ask': 4676.47}","{'bid': 4676.17, 'ask': 4676.47}","{'bid': 4673.74, 'ask': 4674.04}","{'bid': 4675.47, 'ask': 4675.77}"
2026-01-19 19:15:00,"{'bid': 4675.5, 'ask': 4675.8}","{'bid': 4680.25, 'ask': 4680.55}","{'bid': 4675.16, 'ask': 4675.46}","{'bid': 4678.34, 'ask': 4678.64}"
2026-01-19 19:30:00,"{'bid': 4678.36, 'ask': 4678.66}","{'bid': 4678.8, 'ask': 4679.1}","{'bid': 4674.94, 'ask': 4675.24}","{'bid': 4677.65, 'ask': 4677.95}"
2026-01-19 19:45:00,"{'bid': 4677.67, 'ask': 4677.97}","{'bid': 4678.11, 'ask': 4678.41}","{'bid': 4675.31, 'ask': 4675.61}","{'bid': 4676.58, 'ask': 4676.88}"
2026-01-19 20:00:00,"{'bid': 4676.55, 'ask': 4676.85}","{'bid': 4676.68, 'ask': 4676.98}","{'bid': 4671.95, 'ask': 4672.25}","{'bid': 4671.95, 'ask': 4672.25}"
2026-01-19 20:15:00,"{'bid': 4671.99, 'ask': 4672.29}","{'bid': 4672.54, 'ask': 4672.84}","{'bid': 4666.93, 'ask': 4667.23}","{'bid': 4670.98, 'ask': 4671.28}"
2026-01-20 00:00:00,"{'bid': 4672.2, 'ask': 4672.8}","{'bid': 4676.9, 'ask': 4677.2}","{'bid': 4666.14, 'ask': 4666.44}","{'bid': 4670.77, 'ask': 4671.07}"
2026-01-20 00:15:00,"{'bid': 4670.79, 'ask': 4671.09}","{'bid': 4672.31, 'ask': 4672.61}","{'bid': 4665.04, 'ask': 4665.34}","{'bid': 4666.23, 'ask': 4666.53}"
2026-01-20 00:30:00,"{'bid': 4666.24, 'ask': 4666.54}","{'bid': 4668.84, 'ask': 4669.14}","{'bid': 4664.26, 'ask': 4664.56}","{'bid': 4665.95, 'ask': 4666.25}"
2026-01-20 00:45:00,"{'bid': 4665.87, 'ask': 4666.17}","{'bid': 4666.81, 'ask': 4667.11}","{'bid': 4664.77, 'ask': 4665.07}","{'bid': 4665.18, 'ask': 4665.48}"
2026-01-20 01:00:00,"{'bid': 4665.2, 'ask': 4665.5}","{'bid': 4667.87, 'ask': 4668.17}","{'bid': 4664.1, 'ask': 4664.4}","{'bid': 4667.84, 'ask': 4668.14}"
2026-01-20 01:15:00,"{'bid': 4667.86, 'ask': 4668.16}","{'bid': 4667.9, 'ask': 4668.2}","{'bid': 4659.43, 'ask': 4659.73}","{'bid': 4659.54, 'ask': 4659.84}"
2026-01-20 01:30:00,"{'bid': 4659.6, 'ask': 4659.9}","{'bid': 4666.27, 'ask': 4666.57}","{'bid': 4659.51, 'ask': 4659.81}","{'bid': 4663.05, 'ask': 4663.35}"
2026-01-20 01:45:00,"{'bid': 4663.03, 'ask': 4663.33}","{'bid': 4664.05, 'ask': 4664.35}","{'bid': 4660.29, 'ask': 4660.59}","{'bid': 4660.35, 'ask': 4660.65}"
2026-01-20 02:00:00,"{'bid': 4660.33, 'ask': 4660.63}","{'bid': 4673.34, 'ask': 4673.64}","{'bid': 4659.81, 'ask': 4660.11}","{'bid': 4670.11, 'ask': 4670.41}"
2026-01-20 02:15:00,"{'bid': 4670.02, 'ask': 4670.32}","{'bid': 4672.25, 'ask': 4672.55}","{'bid': 4666.11, 'ask': 4666.41}","{'bid': 4670.97, 'ask': 4671.27}"
2026-01-20 02:30:00,"{'bid': 4670.96, 'ask': 4671.26}","{'bid': 4675.95, 'ask': 4676.25}","{'bid': 4670.94, 'ask': 4671.24}","{'bid': 4673.13, 'ask': 4673.43}"
2026-01-20 02:45:00,"{'bid': 4673.09, 'ask': 4673.39}","{'bid': 4674.64, 'ask': 4674.94}","{'bid': 4665.69, 'ask': 4665.99}","{'bid': 4669.7, 'ask': 4670.0}"
2026-01-20 03:00:00,"{'bid': 4669.71, 'ask': 4670.01}","{'bid': 4671.97, 'ask': 4672.27}","{'bid': 4665.46, 'ask': 4665.76}","{'bid': 4666.03, 'ask': 4666.33}"
2026-01-20 03:15:00,"{'bid': 4665.97, 'ask': 4666.27}","{'bid': 4673.35, 'ask': 4673.65}","{'bid': 4665.57, 'ask': 4665.87}","{'bid': 4672.02, 'ask': 4672.32}"
2026-01-20 03:30:00,"{'bid': 4672.03, 'ask': 4672.33}","{'bid': 4674.74, 'ask': 4675.04}","{'bid': 4670.16, 'ask': 4670.46}","{'bid': 4674.03, 'ask': 4674.33}"
2026-01-20 03:45:00,"{'bid': 4674.09, 'ask': 4674.39}","{'bid': 4674.19, 'ask': 4674.49}","{'bid': 4666.83, 'ask': 4667.13}","{'bid': 4668.61, 'ask': 4668.91}"
2026-01-20 04:00:00,"{'bid': 4668.64, 'ask': 4668.94}","{'bid': 4671.55, 'ask': 4671.85}","{'bid': 4666.08, 'ask': 4666.38}","{'bid': 4671.55, 'ask': 4671.85}"
2026-01-20 04:15:00,"{'bid': 4671.61, 'ask': 4671.91}","{'bid': 4674.11, 'ask': 4674.41}","{'bid': 4671.1, 'ask': 4671.4}","{'bid': 4673.14, 'ask': 4673.44}"
2026-01-20 04:30:00,"{'bid': 4673.07, 'ask': 4673.37}","{'bid': 4678.87, 'ask': 4679.17}","{'bid': 4672.66, 'ask': 4672.96}","{'bid': 4676.82, 'ask': 4677.12}"
2026-01-20 04:45:00,"{'bid': 4676.83, 'ask': 4677.13}","{'bid': 4681.42, 'ask': 4681.72}","{'bid': 4676.83, 'ask': 4677.13}","{'bid': 4680.15, 'ask': 4680.45}"
2026-01-20 05:00:00,"{'bid': 4680.13, 'ask': 4680.43}","{'bid': 4682.48, 'ask': 4682.78}","{'bid': 4679.6, 'ask': 4679.9}","{'bid': 4680.41, 'ask': 4680.71}"
2026-01-20 05:15:00,"{'bid': 4680.44, 'ask': 4680.74}","{'bid': 4687.2, 'ask': 4687.5}","{'bid': 4680.35, 'ask': 4680.65}","{'bid': 4685.93, 'ask': 4686.23}"
2026-01-20 05:30:00,"{'bid': 4685.92, 'ask': 4686.22}","{'bid': 4693.3, 'ask': 4693.6}","{'bid': 4684.36, 'ask': 4684.66}","{'bid': 4689.73, 'ask': 4690.03}"
2026-01-20 05:45:00,"{'bid': 4689.71, 'ask': 4690.01}","{'bid': 4696.92, 'ask': 4697.22}","{'bid': 4688.84, 'ask': 4689.14}","{'bid': 4695.2, 'ask': 4695.5}"
2026-01-20 06:00:00,"{'bid': 4695.19, 'ask': 4695.49}","{'bid': 4701.36, 'ask': 4701.66}","{'bid': 4694.67, 'ask': 4694.97}","{'bid': 4699.5, 'ask': 4699.8}"
2026-01-20 06:15:00,"{'bid': 4699.51, 'ask': 4699.81}","{'bid': 4700.49, 'ask': 4700.79}","{'bid': 4694.87, 'ask': 4695.17}","{'bid': 4695.86, 'ask': 4696.16}"
2026-01-20 06:30:00,"{'bid': 4695.78, 'ask': 4696.08}","{'bid': 4706.02, 'ask': 4706.32}","{'bid': 4694.17, 'ask': 4694.47}","{'bid': 4704.92, 'ask': 4705.22}"
2026-01-20 06:45:00,"{'bid': 4704.94, 'ask': 4705.24}","{'bid': 4716.61, 'ask': 4716.91}","{'bid': 4704.69, 'ask': 4704.99}","{'bid': 4714.55, 'ask': 4714.85}"
2026-01-20 07:00:00,"{'bid': 4714.56, 'ask': 4714.86}","{'bid': 4716.92, 'ask': 4717.22}","{'bid': 4707.53, 'ask': 4707.83}","{'bid': 4713.0, 'ask': 4713.3}"
2026-01-20 07:15:00,"{'bid': 4713.08, 'ask': 4713.38}","{'bid': 4715.39, 'ask': 4715.69}","{'bid': 4709.36, 'ask': 4709.66}","{'bid': 4712.4, 'ask': 4712.7}"
2026-01-20 07:30:00,"{'bid': 4712.45, 'ask': 4712.75}","{'bid': 4714.92, 'ask': 4715.22}","{'bid': 4705.57, 'ask': 4705.87}","{'bid': 4710.61, 'ask': 4710.91}"
2026-01-20 07:45:00,"{'bid': 4710.64, 'ask': 4710.94}","{'bid': 4715.24, 'ask': 4715.54}","{'bid': 4709.23, 'ask': 4709.53}","{'bid': 4712.35, 'ask': 4712.65}"
2026-01-20 08:00:00,"{'bid': 4712.36, 'ask': 4712.66}","{'bid': 4717.55, 'ask': 4717.85}","{'bid': 4711.34, 'ask': 4711.64}","{'bid': 4715.45, 'ask': 4715.75}"
2026-01-20 08:15:00,"{'bid': 4715.44, 'ask': 4715.74}","{'bid': 4722.1, 'ask': 4722.4}","{'bid': 4714.78, 'ask': 4715.08}","{'bid': 4718.21, 'ask': 4718.51}"
2026-01-20 08:30:00,"{'bid': 4718.27, 'ask': 4718.57}","{'bid': 4721.6, 'ask': 4721.9}","{'bid': 4716.75, 'ask': 4717.05}","{'bid': 4720.08, 'ask': 4720.38}"
2026-01-20 08:45:00,"{'bid': 4720.05, 'ask': 4720.35}","{'bid': 4722.65, 'ask': 4722.95}","{'bid': 4714.81, 'ask': 4715.11}","{'bid': 4716.08, 'ask': 4716.38}"
2026-01-20 09:00:00,"{'bid': 4716.15, 'ask': 4716.45}","{'bid': 4725.57, 'ask': 4725.87}","{'bid': 4714.98, 'ask': 4715.28}","{'bid': 4724.4, 'ask': 4724.7}"
2026-01-20 09:15:00,"{'bid': 4724.41, 'ask': 4724.71}","{'bid': 4725.3, 'ask': 4725.6}","{'bid': 4718.06, 'ask': 4718.36}","{'bid': 4718.57, 'ask': 4718.87}"
2026-01-20 09:30:00,"{'bid': 4718.55, 'ask': 4718.85}","{'bid': 4724.67, 'ask': 4724.97}","{'bid': 4715.9, 'ask': 4716.2}","{'bid': 4722.74, 'ask': 4723.04}"
